SOIL_ID,SNAM
337,S1_S1_S1_5_>100cm_>100cm_N_A
338,S1_S1_S1_5_>100cm_>100cm_N_B
339,S1_S1_S1_5_>100cm_>100cm_N_C
340,S1_S1_S1_5_>100cm_>100cm_Y_A
341,S1_S1_S1_5_>100cm_>100cm_Y_B
342,S1_S1_S1_5_>100cm_>100cm_Y_C
343,S1_S1_S1_8_>100cm_>100cm_Y_A
344,S2_S2_S2_5_>100cm_60-100cm_N_A
345,S2_S2_S2_5_>100cm_60-100cm_Y_A
346,S2_S2_S2_5_>100cm_>100cm_N_A
347,S2_S2_S2_5_>100cm_>100cm_Y_A
348,S3_S1_S1_2_>100cm_60-100cm_N_A
349,S3_S1_S1_2_>100cm_60-100cm_N_D
350,S3_S1_S1_2_>100cm_60-100cm_Y_D
351,S3_S1_S1_2_>100cm_<60cm_N_A
352,S3_S1_S1_2_>100cm_>100cm_N_A
353,S3_S1_S1_2_>100cm_>100cm_Y_A
354,S3_S1_S1_4_>100cm_60-100cm_N_A
355,S3_S1_S1_4_>100cm_60-100cm_N_D
356,S3_S1_S1_4_>100cm_60-100cm_Y_A
357,S3_S1_S1_4_>100cm_60-100cm_Y_D
358,S3_S1_S1_4_>100cm_<60cm_N_A
359,S3_S1_S1_4_>100cm_<60cm_Y_A
360,S3_S1_S1_4_>100cm_<60cm_Y_D
361,S3_S1_S1_4_>100cm_>100cm_N_A
362,S3_S1_S1_4_>100cm_>100cm_N_B
363,S3_S1_S1_4_>100cm_>100cm_Y_A
364,S3_S1_S1_4_>100cm_>100cm_Y_B
365,S3_S1_S1_4_>100cm_>100cm_Y_C
366,S3_S1_S1_5_>100cm_60-100cm_N_A
367,S3_S1_S1_5_>100cm_60-100cm_Y_A
368,S3_S1_S1_5_>100cm_>100cm_N_A
369,S3_S1_S1_5_>100cm_>100cm_Y_A
370,S3_S1_S1_5_>100cm_>100cm_Y_B
371,S3_S1_S1_5_>100cm_>100cm_Y_C
372,S3_S1_S1_8_>100cm_60-100cm_N_A
373,S3_S1_S1_8_>100cm_60-100cm_N_D
374,S3_S1_S1_8_>100cm_60-100cm_Y_A
375,S3_S1_S1_8_>100cm_<60cm_N_D
376,S3_S1_S1_8_>100cm_<60cm_Y_A
377,S3_S1_S1_8_>100cm_>100cm_N_A
378,S3_S1_S1_8_>100cm_>100cm_Y_A
379,S3_S1_SL3_2_>100cm_60-100cm_N_A
